provider,region,network_latency_ms,response_time_ms,availability_percent,resource_utilization_percent
GCP,europe-west1,57,89,99.906,78
AWS,us-east-1,13,51,99.939,60
AWS,us-west-2,46,76,99.97,49
Azure,Australia East,70,103,99.922,88
AWS,ap-southeast-1,70,89,99.921,55
GCP,asia-south1,38,67,99.99,50
AWS,ap-south-1,71,102,99.947,68
Azure,Central India,65,93,99.908,65
Azure,East US,51,85,99.956,79
GCP,us-east1,39,52,99.916,66
GCP,asia-south1,44,92,99.923,58
AWS,ap-southeast-1,40,76,99.98,45
GCP,asia-south1,80,94,99.936,84
GCP,us-east1,31,63,99.969,48
AWS,eu-west-1,63,82,99.916,57
GCP,us-east1,35,63,99.919,78
AWS,eu-west-1,34,83,99.944,51
AWS,eu-west-1,30,60,99.904,55
AWS,eu-west-1,37,52,99.917,69
Azure,West Europe,22,67,99.952,78
GCP,us-east1,23,59,99.988,55
GCP,europe-west1,31,69,99.976,77
Azure,Southeast Asia,12,61,99.948,67
Azure,Australia East,30,76,99.914,54
Azure,Southeast Asia,74,93,99.998,77
GCP,us-east1,30,73,99.917,71
GCP,us-central1,22,51,99.962,84
AWS,ap-south-1,61,85,99.955,91
AWS,ap-southeast-1,65,79,99.978,56
GCP,europe-west1,44,69,99.996,79
AWS,us-west-2,11,26,99.941,59
Azure,East US,33,72,99.932,44
Azure,Australia East,49,65,99.975,80
AWS,us-west-2,43,74,99.913,91
GCP,asia-south1,48,65,99.969,70
Azure,Central India,25,49,99.996,84
Azure,Central India,77,92,99.91,81
GCP,europe-west1,57,95,99.944,49
AWS,us-west-2,32,63,99.92,68
AWS,ap-southeast-1,41,78,99.937,50
Azure,Australia East,56,91,99.953,67
GCP,us-central1,39,79,99.922,78
AWS,us-west-2,54,92,99.98,79
Azure,East US,69,100,99.945,82
AWS,us-west-2,12,38,99.913,57
AWS,ap-south-1,33,53,99.924,48
AWS,eu-west-1,61,106,99.947,64
GCP,asia-south1,43,73,99.979,44
AWS,ap-south-1,48,63,99.99,50
Azure,Central India,68,112,99.974,79
AWS,us-east-1,40,59,99.946,67
AWS,us-east-1,76,117,99.904,94
GCP,asia-east1,57,75,99.994,54
AWS,us-east-1,19,61,99.953,70
GCP,asia-south1,47,97,99.992,60
Azure,West Europe,76,125,99.921,52
AWS,ap-southeast-1,34,84,99.986,57
Azure,Central India,27,71,99.981,60
AWS,us-west-2,29,43,99.994,80
AWS,eu-west-1,23,72,99.943,43
GCP,us-central1,57,106,99.975,76
AWS,ap-southeast-1,60,91,99.965,50
GCP,us-east1,48,84,99.924,77
GCP,europe-west1,35,82,99.933,70
GCP,europe-west1,72,105,99.95,63
AWS,ap-south-1,73,116,99.906,48
AWS,ap-south-1,16,49,99.939,71
GCP,us-east1,36,67,99.902,81
AWS,us-west-2,26,52,99.925,48
GCP,asia-east1,58,92,99.974,40
AWS,ap-southeast-1,39,59,99.924,95
Azure,Central India,53,76,99.967,65
GCP,us-central1,78,107,99.964,64
GCP,us-east1,64,85,99.932,62
GCP,asia-east1,14,35,99.975,80
Azure,Southeast Asia,24,35,99.949,79
GCP,us-central1,61,75,99.916,46
AWS,eu-west-1,34,60,99.924,88
AWS,ap-south-1,12,24,99.907,53
Azure,Central India,80,98,99.969,87
Azure,Southeast Asia,40,57,99.942,69
AWS,eu-west-1,19,38,99.991,77
GCP,us-east1,27,52,99.922,50
AWS,eu-west-1,49,65,99.924,40
GCP,europe-west1,57,90,99.996,47
AWS,ap-southeast-1,49,59,99.98,84
GCP,europe-west1,20,63,99.965,73
Azure,West Europe,57,88,99.991,95
GCP,us-east1,65,106,99.904,90
AWS,us-east-1,22,62,99.939,73
GCP,asia-east1,11,56,99.972,53
Azure,West Europe,26,72,99.916,95
GCP,europe-west1,43,57,99.992,95
Azure,East US,21,48,99.984,44
Azure,Southeast Asia,69,100,99.912,69
GCP,us-east1,78,126,99.961,74
GCP,asia-east1,51,92,99.963,95
GCP,europe-west1,31,53,99.977,90
GCP,asia-south1,50,64,99.909,95
AWS,ap-south-1,60,85,99.969,59
Azure,Australia East,78,105,99.966,75
GCP,asia-east1,12,55,99.911,83
AWS,us-west-2,71,108,99.914,82
Azure,East US,45,63,99.979,45
AWS,ap-southeast-1,46,77,99.914,83
Azure,Central India,20,45,99.991,95
GCP,us-central1,77,112,99.937,89
GCP,us-central1,43,67,99.929,82
GCP,us-east1,68,82,99.921,95
GCP,us-east1,75,104,99.913,51
Azure,East US,61,93,99.981,66
GCP,asia-south1,30,40,99.929,79
AWS,us-west-2,66,103,99.917,58
Azure,Central India,17,42,99.997,68
AWS,us-east-1,15,48,99.929,49
Azure,Australia East,18,40,99.976,93
AWS,us-east-1,80,99,99.912,51
GCP,asia-east1,78,121,99.901,45
AWS,ap-south-1,71,114,99.951,51
GCP,asia-south1,72,88,99.902,84
GCP,europe-west1,37,87,99.938,80
Azure,Australia East,12,56,99.918,52
Azure,West Europe,73,84,99.94,48
Azure,Australia East,73,117,99.946,58
AWS,us-east-1,38,85,99.947,60
AWS,us-west-2,57,68,99.92,71
GCP,asia-south1,14,62,99.981,70
Azure,West Europe,36,70,99.912,75
GCP,asia-south1,54,70,99.965,52
AWS,us-west-2,77,120,99.992,52
AWS,eu-west-1,62,90,99.975,87
GCP,us-east1,23,33,99.931,56
Azure,East US,11,41,99.966,66
GCP,asia-east1,54,100,99.931,69
Azure,Southeast Asia,29,50,99.993,67
GCP,us-central1,56,79,99.989,43
GCP,us-central1,62,83,99.96,46
AWS,eu-west-1,56,103,99.974,76
AWS,eu-west-1,78,98,99.952,94
GCP,us-central1,48,76,99.928,41
GCP,us-central1,79,92,99.935,45
Azure,East US,79,102,99.904,72
GCP,asia-east1,68,111,99.904,58
Azure,Central India,79,115,99.927,51
GCP,us-east1,37,83,99.945,66
AWS,us-east-1,31,58,99.941,71
AWS,eu-west-1,46,89,99.971,52
Azure,West Europe,56,88,99.937,95
GCP,europe-west1,15,32,99.963,80
GCP,us-east1,51,77,99.919,84
Azure,West Europe,70,98,99.97,88
GCP,asia-east1,38,68,99.968,88
GCP,europe-west1,64,96,99.975,71
AWS,ap-southeast-1,22,56,99.955,74
Azure,Southeast Asia,18,45,99.928,47
AWS,ap-south-1,55,74,99.995,80
Azure,East US,37,69,99.908,47
GCP,asia-south1,16,54,99.995,51
GCP,us-east1,17,40,99.952,51
AWS,us-east-1,80,100,99.977,55
Azure,East US,78,103,99.947,64
Azure,West Europe,51,64,99.914,55
GCP,us-central1,44,93,99.986,89
GCP,asia-east1,18,29,99.955,79
AWS,eu-west-1,29,67,99.981,66
Azure,East US,16,40,99.906,50
AWS,ap-south-1,34,57,99.951,95
AWS,eu-west-1,16,51,99.946,74
Azure,Southeast Asia,49,64,99.913,71
GCP,us-east1,24,72,99.991,62
GCP,us-east1,58,88,99.935,62
AWS,us-east-1,58,73,99.946,57
GCP,europe-west1,50,91,99.981,44
GCP,europe-west1,13,34,99.941,87
GCP,asia-south1,67,110,99.928,88
Azure,Australia East,71,95,99.957,61
GCP,asia-south1,20,47,99.931,52
AWS,us-west-2,80,111,99.957,95
GCP,asia-south1,14,54,99.975,68
Azure,East US,10,48,99.905,45
Azure,Australia East,27,57,99.918,57
GCP,us-east1,23,42,99.99,44
Azure,Central India,76,98,99.96,64
Azure,Central India,37,81,99.908,94
Azure,West Europe,58,85,99.957,83
AWS,us-east-1,25,49,99.961,91
AWS,us-west-2,26,60,99.964,81
GCP,us-central1,50,87,99.912,43
AWS,ap-southeast-1,34,55,99.934,75
Azure,Central India,55,102,99.934,79
Azure,Central India,76,90,99.902,67
Azure,East US,35,61,99.942,61
Azure,Southeast Asia,26,44,99.917,61
Azure,West Europe,62,100,99.952,92
GCP,asia-east1,76,108,99.925,63
GCP,asia-east1,40,53,99.973,63
GCP,us-central1,32,71,99.904,81
AWS,us-east-1,26,49,99.922,69
AWS,us-east-1,39,83,99.988,42
AWS,ap-southeast-1,76,94,99.917,47
Azure,Australia East,38,87,99.92,51
AWS,us-east-1,70,120,99.937,90
AWS,us-east-1,58,94,99.936,79
AWS,us-east-1,12,62,99.987,57
GCP,asia-east1,71,98,99.903,70
GCP,asia-east1,78,108,99.968,86
AWS,eu-west-1,56,81,99.945,75
Azure,West Europe,13,49,99.97,51
Azure,East US,70,109,99.963,50
Azure,Southeast Asia,56,105,99.981,70
GCP,europe-west1,52,85,99.971,58
GCP,europe-west1,79,109,99.952,95
GCP,asia-south1,35,81,99.916,79
AWS,us-west-2,50,66,99.977,90
Azure,Central India,20,49,99.932,76
AWS,eu-west-1,30,74,99.928,62
AWS,ap-south-1,43,57,99.955,62
AWS,ap-south-1,17,29,99.973,79
Azure,East US,77,126,99.996,57
AWS,us-west-2,36,62,99.947,84
Azure,East US,10,50,99.961,71
GCP,us-central1,67,115,99.921,60
AWS,eu-west-1,18,68,99.992,78
GCP,asia-south1,62,86,99.926,51
AWS,eu-west-1,74,101,99.927,84
Azure,West Europe,50,65,99.913,84
AWS,eu-west-1,28,41,99.958,45
Azure,East US,41,81,99.937,44
AWS,ap-southeast-1,47,79,99.94,75
AWS,ap-south-1,68,109,99.987,87
GCP,asia-south1,38,75,99.983,89
GCP,europe-west1,65,105,99.907,65
Azure,Central India,38,56,99.97,81
GCP,asia-south1,76,117,99.93,40
Azure,Australia East,75,103,99.948,76
AWS,eu-west-1,58,72,99.999,56
AWS,us-east-1,13,30,99.931,52
GCP,us-central1,28,76,99.991,43
GCP,us-east1,69,119,99.909,60
AWS,us-east-1,57,95,99.99,44
AWS,us-west-2,14,45,99.974,87
AWS,eu-west-1,24,46,99.931,58
Azure,East US,23,46,99.966,61
GCP,asia-south1,69,118,99.943,52
AWS,eu-west-1,24,49,99.961,58
AWS,us-west-2,15,52,99.937,89
Azure,West Europe,65,93,99.937,78
Azure,Australia East,36,77,99.918,88
Azure,Southeast Asia,50,81,99.906,95
Azure,Australia East,44,70,99.939,72
AWS,us-west-2,24,58,99.986,48
GCP,us-east1,31,71,99.934,54
Azure,Central India,43,84,99.928,89
Azure,Central India,70,117,99.974,90
AWS,eu-west-1,25,71,99.985,73
GCP,us-east1,16,63,99.975,54
AWS,ap-south-1,19,59,99.901,91
GCP,asia-east1,67,117,99.932,48
GCP,europe-west1,79,92,99.971,62
AWS,eu-west-1,10,46,99.925,57
Azure,West Europe,73,85,99.957,57
GCP,us-east1,28,54,99.912,67
Azure,Australia East,80,110,99.916,55
GCP,us-east1,70,118,99.976,40
GCP,us-central1,37,84,99.942,62
AWS,us-west-2,66,80,99.965,48
GCP,asia-east1,51,87,99.97,55
Azure,West Europe,41,68,99.963,90
AWS,us-east-1,51,94,99.994,43
Azure,Central India,11,25,99.962,81
AWS,ap-south-1,30,65,99.927,51
GCP,europe-west1,17,47,99.971,58
AWS,us-west-2,57,67,99.986,90
AWS,eu-west-1,26,40,99.983,62
AWS,ap-southeast-1,27,50,99.996,89
GCP,asia-east1,59,104,99.982,42
GCP,asia-east1,53,65,99.942,82
Azure,East US,38,72,99.971,75
AWS,us-east-1,45,83,99.928,92
AWS,ap-southeast-1,42,72,99.963,82
AWS,ap-southeast-1,43,67,99.997,41
GCP,asia-south1,22,45,99.947,46
AWS,eu-west-1,77,108,99.943,51
GCP,us-central1,27,51,99.949,91
AWS,us-east-1,75,93,99.92,48
GCP,europe-west1,40,65,99.961,91
AWS,ap-southeast-1,47,60,99.903,70
GCP,us-central1,47,58,99.975,56
AWS,us-west-2,67,103,99.948,74
GCP,us-central1,13,53,99.969,89
GCP,asia-south1,23,35,99.925,85
GCP,asia-east1,10,46,99.975,54
AWS,ap-southeast-1,29,46,99.95,90
Azure,Australia East,47,79,99.908,76
Azure,Southeast Asia,22,45,99.989,60
AWS,us-west-2,25,71,99.966,89
Azure,Southeast Asia,36,73,99.952,45
Azure,West Europe,28,72,99.939,91
AWS,ap-south-1,12,50,99.906,54
AWS,ap-south-1,17,62,99.994,56
AWS,us-west-2,74,94,99.915,77
GCP,asia-south1,26,72,99.971,79
GCP,asia-south1,36,54,99.922,82
AWS,ap-south-1,75,104,99.958,86
AWS,us-east-1,32,48,99.92,49
AWS,us-east-1,16,54,99.962,50
GCP,us-central1,62,85,99.961,52
GCP,asia-south1,17,30,99.903,63
Azure,Southeast Asia,27,47,99.973,87
AWS,ap-south-1,16,60,99.931,75
AWS,ap-south-1,61,93,99.976,63
GCP,asia-east1,11,27,99.951,72
GCP,asia-east1,40,74,99.929,59
AWS,ap-south-1,53,66,99.995,53
Azure,Central India,49,79,99.978,75
Azure,East US,14,26,99.956,43
GCP,us-central1,58,101,99.998,45
GCP,us-east1,76,90,99.914,62
AWS,eu-west-1,37,77,99.974,77
Azure,Southeast Asia,11,50,99.997,71
AWS,us-east-1,28,63,99.91,76
AWS,eu-west-1,55,70,99.952,94
GCP,asia-south1,45,81,99.912,88
Azure,Australia East,61,82,99.915,67
GCP,us-central1,15,44,99.995,95
Azure,Southeast Asia,58,106,99.932,69
Azure,Southeast Asia,31,74,99.923,80
AWS,us-east-1,17,30,99.995,60
AWS,us-east-1,61,101,99.936,95
Azure,Central India,61,104,99.953,40
GCP,us-east1,29,78,99.917,76
Azure,Australia East,10,22,99.915,92
Azure,Australia East,61,90,99.909,85
AWS,ap-southeast-1,74,122,99.973,68
AWS,ap-southeast-1,62,98,99.927,80
GCP,us-central1,15,65,99.936,52
Azure,East US,75,108,99.903,44
Azure,West Europe,21,58,99.934,48
Azure,Central India,66,76,99.93,59
Azure,Australia East,19,29,99.967,85
GCP,us-east1,23,34,99.997,54
Azure,East US,49,84,99.922,65
AWS,us-east-1,66,96,99.911,52
Azure,West Europe,31,73,99.916,78
AWS,ap-south-1,12,57,99.969,54
AWS,eu-west-1,14,31,99.913,95
Azure,West Europe,38,67,99.954,74
Azure,East US,30,72,99.955,63
AWS,ap-southeast-1,36,63,99.941,69
GCP,europe-west1,18,29,99.957,56
Azure,East US,18,35,99.966,67
GCP,us-central1,33,67,99.999,79
AWS,us-east-1,16,57,99.912,57
AWS,ap-south-1,12,52,99.944,81
Azure,Southeast Asia,11,48,99.965,52
GCP,us-central1,64,92,99.983,72
Azure,Central India,40,70,99.933,90
AWS,ap-south-1,52,70,99.904,41
Azure,West Europe,11,55,99.969,65
AWS,ap-south-1,31,75,99.988,43
Azure,East US,38,49,99.992,64
AWS,us-west-2,40,66,99.94,56
Azure,Southeast Asia,79,103,99.952,84
Azure,Southeast Asia,58,97,99.965,95
GCP,asia-east1,67,77,99.916,51
GCP,us-central1,44,83,99.979,77
Azure,Central India,13,25,99.967,47
GCP,us-east1,23,53,99.935,55
Azure,Central India,21,62,99.999,92
AWS,ap-south-1,23,64,99.917,51
AWS,us-west-2,34,70,99.961,66
GCP,asia-east1,69,84,99.919,76
Azure,Australia East,44,85,99.906,74
Azure,West Europe,46,85,99.99,49
AWS,ap-southeast-1,11,51,99.987,69
Azure,Central India,68,107,99.904,42
AWS,ap-southeast-1,18,40,99.974,57
AWS,eu-west-1,62,90,99.915,40
Azure,Central India,77,110,99.989,93
AWS,us-east-1,52,88,99.93,69
Azure,Southeast Asia,22,43,99.979,57
GCP,us-east1,27,41,99.936,57
Azure,West Europe,33,45,99.939,60
AWS,us-west-2,35,83,99.92,63
Azure,West Europe,36,51,99.95,48
AWS,ap-south-1,21,62,99.969,85
GCP,asia-south1,21,68,99.977,67
Azure,East US,67,79,99.955,52
Azure,Central India,42,89,99.989,92
GCP,us-east1,70,99,99.907,69
AWS,ap-southeast-1,67,99,99.915,60
Azure,Central India,57,78,99.953,66
AWS,ap-south-1,47,63,99.977,58
Azure,East US,33,62,99.904,66
GCP,us-east1,50,93,99.97,47
AWS,ap-southeast-1,38,59,99.968,44
AWS,ap-south-1,36,72,99.917,42
Azure,West Europe,32,63,99.987,86
AWS,ap-south-1,69,85,99.939,44
Azure,Central India,68,96,99.925,71
AWS,ap-south-1,55,65,99.954,74
GCP,asia-east1,24,53,99.902,91
GCP,asia-east1,32,56,99.999,76
GCP,asia-east1,54,103,99.957,42
GCP,asia-east1,44,85,99.942,72
Azure,Central India,36,83,99.944,44
GCP,us-central1,68,109,99.933,52
GCP,us-central1,34,75,99.901,61
Azure,Central India,68,113,99.979,57
AWS,ap-southeast-1,42,65,99.938,88
Azure,East US,34,53,99.95,61
GCP,asia-south1,19,67,99.938,82
GCP,europe-west1,44,69,99.982,86
Azure,Southeast Asia,77,98,99.947,87
Azure,Australia East,77,117,99.945,85
GCP,asia-east1,64,77,99.901,67
AWS,us-west-2,12,40,99.911,91
Azure,East US,16,31,99.92,94
GCP,us-central1,77,90,99.947,76
GCP,europe-west1,36,67,99.945,64
AWS,ap-southeast-1,40,73,99.984,83
GCP,asia-east1,74,84,99.975,81
AWS,ap-south-1,37,58,99.955,79
AWS,eu-west-1,10,56,99.926,40
AWS,eu-west-1,13,54,99.925,53
GCP,us-central1,67,98,99.962,46
Azure,East US,73,117,99.998,83
AWS,us-east-1,35,51,99.933,74
Azure,Australia East,34,79,99.923,53
Azure,East US,22,46,99.953,52
GCP,asia-south1,65,111,99.976,42
GCP,asia-east1,34,78,99.901,68
GCP,asia-east1,11,45,99.924,68
GCP,us-central1,23,64,99.943,74
AWS,us-west-2,58,90,99.935,41
Azure,Central India,43,59,99.961,88
GCP,us-central1,72,113,99.912,85
GCP,asia-south1,80,90,99.908,57
Azure,Southeast Asia,64,105,99.986,51
Azure,West Europe,66,82,99.917,55
AWS,us-west-2,67,90,99.942,47
Azure,West Europe,43,69,99.946,50
GCP,us-central1,67,87,99.93,95
GCP,europe-west1,45,81,99.914,69
GCP,asia-south1,31,60,99.963,63
GCP,us-central1,58,99,99.993,77
GCP,us-central1,78,104,99.904,86
AWS,ap-south-1,28,41,99.913,88
AWS,us-west-2,43,62,99.947,49
GCP,us-central1,56,105,99.953,69
GCP,asia-east1,73,103,99.909,40
Azure,West Europe,73,111,99.96,69
AWS,us-east-1,58,83,99.949,67
GCP,asia-east1,13,50,99.968,86
Azure,Australia East,48,91,99.931,83
Azure,Southeast Asia,18,63,99.932,80
GCP,asia-east1,66,87,99.997,49
AWS,ap-southeast-1,78,106,99.927,87
GCP,europe-west1,62,76,99.995,70
GCP,europe-west1,12,53,99.918,68
Azure,East US,66,80,99.935,42
AWS,ap-southeast-1,66,101,99.942,64
AWS,ap-southeast-1,75,93,99.911,49
AWS,ap-southeast-1,59,98,99.947,85
Azure,Southeast Asia,70,114,99.991,46
AWS,eu-west-1,78,103,99.923,53
Azure,Southeast Asia,59,85,99.953,81
Azure,East US,57,95,99.908,59
Azure,Australia East,58,95,99.905,76
Azure,East US,58,104,99.973,90
GCP,europe-west1,79,115,99.984,93
Azure,West Europe,46,66,99.916,41
AWS,eu-west-1,18,40,99.913,65
Azure,Australia East,26,53,99.923,49
Azure,Southeast Asia,41,56,99.972,49
Azure,Australia East,42,89,99.964,45
GCP,us-central1,63,110,99.927,66
GCP,us-central1,17,36,99.99,46
GCP,us-east1,72,100,99.998,76
AWS,us-west-2,42,57,99.984,95
AWS,us-east-1,33,65,99.989,45
AWS,us-east-1,77,95,99.974,50
GCP,us-east1,55,66,99.963,64
GCP,europe-west1,62,80,99.921,78
AWS,ap-south-1,28,65,99.981,79
AWS,ap-south-1,69,85,99.987,53
AWS,us-west-2,15,49,99.986,82
Azure,West Europe,64,98,99.984,85
AWS,ap-south-1,68,103,99.979,67
GCP,us-east1,29,51,99.921,89
AWS,us-east-1,55,69,99.976,95
Azure,Central India,33,57,99.946,66
GCP,us-east1,80,122,99.955,78
AWS,ap-south-1,70,97,99.964,40
Azure,Central India,43,89,99.982,49
GCP,us-central1,49,82,99.931,73
AWS,us-west-2,57,94,99.971,77
GCP,europe-west1,51,66,99.975,92
GCP,asia-south1,62,93,99.953,92
AWS,us-west-2,23,65,99.957,49
AWS,us-east-1,19,48,99.938,86
GCP,asia-south1,12,40,99.963,56
Azure,Australia East,23,45,99.939,52
AWS,eu-west-1,65,110,99.948,72
Azure,Australia East,70,105,99.945,63
GCP,asia-south1,64,92,99.952,63
Azure,Australia East,37,76,99.913,41
AWS,us-west-2,71,95,99.954,63
GCP,europe-west1,26,63,99.988,46
Azure,East US,66,111,99.928,59
Azure,East US,47,95,99.949,48
Azure,West Europe,53,83,99.947,90
Azure,Central India,26,72,99.988,45
GCP,us-east1,14,60,99.91,43
GCP,us-central1,47,87,99.906,84
AWS,us-west-2,57,75,99.943,90
AWS,ap-south-1,18,30,99.974,40
GCP,asia-south1,53,81,99.998,76
AWS,eu-west-1,49,80,99.933,75
GCP,asia-south1,31,59,99.967,70
GCP,us-central1,13,57,99.974,75
Azure,Southeast Asia,17,38,99.972,91
AWS,eu-west-1,22,67,99.938,75
GCP,asia-south1,37,81,99.922,91
AWS,ap-southeast-1,77,105,99.946,51
GCP,asia-east1,65,77,99.985,74
Azure,Southeast Asia,46,93,99.977,68
GCP,asia-south1,11,54,99.983,58
AWS,us-east-1,18,42,99.95,67
AWS,eu-west-1,65,89,99.906,55
Azure,Australia East,42,77,99.946,90
Azure,Southeast Asia,15,38,99.951,94
Azure,Australia East,61,82,99.921,58
AWS,us-east-1,78,126,99.902,88
Azure,East US,32,80,99.983,83
AWS,us-east-1,26,51,99.953,60
Azure,Central India,60,81,99.993,60
AWS,us-west-2,22,41,99.945,73
AWS,ap-south-1,62,93,99.972,58
AWS,ap-southeast-1,11,21,99.906,51
Azure,Southeast Asia,36,78,99.945,67
Azure,East US,64,84,99.952,95
GCP,us-east1,14,48,99.95,65
AWS,us-east-1,38,76,99.996,68
AWS,eu-west-1,36,85,99.97,60
Azure,Central India,80,118,99.984,52
Azure,Central India,40,79,99.913,41
GCP,europe-west1,34,82,99.955,87
Azure,Australia East,48,64,99.984,62
Azure,West Europe,60,76,99.977,55
Azure,East US,74,118,99.929,44
Azure,East US,45,61,99.937,60
AWS,us-east-1,16,45,99.981,47
AWS,us-west-2,73,115,99.989,70
AWS,ap-south-1,44,82,99.967,56
AWS,us-west-2,20,40,99.989,61
